model,MAE,MAPE,RMSE,split,model_name
naive,5.581071428571429,0.10075051129721467,8.186770687256013,val,naive
seasonal7,4.72,0.08531091554953446,7.1423785553953545,val,seasonal7
ridge_val,4.0061026526437296,0.07090272217741196,6.057319361129563,val,ridge
ridge_test,4.1917211764334334,0.07348085200199898,5.761587605594727,test,ridge
elastic_val,3.9242931339367453,0.07042508557000043,5.929231790776222,val,elastic
elastic_test,4.042268307481174,0.07179925727736275,5.579755770523436,test,elastic
hgb_val,3.7524550445522644,0.06773027743923837,5.711851113825141,val,hgb
hgb_test,3.909946470530063,0.06984381937680456,5.391771642687853,test,hgb
rf_val,3.7586639260538695,0.06848677135923117,5.678705919887872,val,rf
rf_test,3.882490330831396,0.06967400312456318,5.360771224129932,test,rf
et_val,3.74964684465138,0.06796228902197288,5.6953528591281515,val,et
et_test,3.8854874031607287,0.06947453171867746,5.384390683452541,test,et
cat_val,3.7411497377269294,0.06757247159143473,5.695452962491514,val,cat
cat_test,3.8661746496318945,0.06918715677941012,5.350469375657123,test,cat
lgbm_val,3.7531587465380434,0.06810329083515294,5.694755517470389,val,lgbm
lgbm_test,3.89377757959018,0.06954276635060144,5.385391323056778,test,lgbm
xgb_val,3.79962180682591,0.06887250301774601,5.7611912911547485,val,xgb
xgb_test,3.9099153957366943,0.06986869296204513,5.3944372676562296,test,xgb
stacker_cases_val,2.9282477582458055,0.05284667441194748,4.6560207307298755,,
stacker_cases_test,3.8967297927601514,0.06937928176918604,5.410303317744021,,
cases_optuna_val,3.1763478981334394,0.05776051823792802,4.589299680881734,,
cases_optuna_test,3.931720034421289,0.07046243939586504,5.423522784677132,,
