model,MAE,MAPE,RMSE,split,model_name
trucks_naive,0.10071428571428571,0.042053571428571426,0.31959796173138705,val,trucks_naive
trucks_seasonal7,0.05714285714285714,0.023809523809523805,0.23904572186687872,val,trucks_seasonal7
ridge_trucks_val,0.1019181756681297,0.04246461175131223,0.22029370052610087,val,ridge
ridge_trucks_test,0.12460580540417734,0.049884164053580406,0.25116568685728236,test,ridge
elastic_trucks_val,0.10215685653118409,0.04268327601874997,0.21836967660895706,val,elastic
elastic_trucks_test,0.13241392993168363,0.05360114932380902,0.2507717950315729,test,elastic
hgb_trucks_val,0.09001788717241899,0.0376672350535948,0.2108802530911234,val,hgb
hgb_trucks_test,0.11802739608881922,0.0464032683334388,0.2481328040681759,test,hgb
rf_trucks_val,0.0932138820781634,0.03960645718449042,0.21304186181088186,val,rf
rf_trucks_test,0.11781324439102824,0.047736908925987136,0.24332374909463303,test,rf
et_trucks_val,0.10022199444878875,0.042031731907676895,0.2140277975702179,val,et
et_trucks_test,0.12936064832299612,0.051466637658230056,0.2527682124861391,test,et
cat_trucks_val,0.09376019351614562,0.039299164798260476,0.2109432725796966,val,cat
cat_trucks_test,0.12073746262098109,0.04883816356944702,0.243841253307085,test,cat
lgbm_trucks_val,0.09459868409522698,0.039731365674066946,0.213466091260443,val,lgbm
lgbm_trucks_test,0.12107714282154267,0.04817773044461872,0.24710166607482129,test,lgbm
xgb_trucks_val,0.10100314327648707,0.042778994710672466,0.21481747085230282,val,xgb
xgb_trucks_test,0.13024319607019424,0.05076866875092189,0.2576074281300323,test,xgb
stacker_trucks_val,0.07091944526553963,0.02937505749458534,0.18094701446659506,,
stacker_trucks_test,0.11740957991965235,0.045522006482999484,0.24939047885842333,,
