feature,importance,dept,target,best_model_label
cases_lag_7,6.465045772823351,41,cases,stacker_cases_test
trucks,5.653270744224275,41,cases,stacker_cases_test
cases_lag_14,5.174732043166734,41,cases,stacker_cases_test
cases_lag_1,2.3153930433722545,41,cases,stacker_cases_test
cases_ma_7,2.1788701017243803,41,cases,stacker_cases_test
cases_ma_14,1.982048226821407,41,cases,stacker_cases_test
trucks_lag_7,1.656209646559011,41,cases,stacker_cases_test
trucks_ma_7,1.3765922700120192,41,cases,stacker_cases_test
Crude_Oil_Price,1.0176759472809722,41,cases,stacker_cases_test
Initial_Jobless_Claims,0.9351148788194442,41,cases,stacker_cases_test
trucks_lag_7,27.961279615504107,41,trucks,stacker_trucks_test
trucks_ma_7,4.565228977362593,41,trucks,stacker_trucks_test
trucks_lag_1,4.386297382686571,41,trucks,stacker_trucks_test
Crude_Oil_Price,2.1288624350009853,41,trucks,stacker_trucks_test
Initial_Jobless_Claims,1.348174526449765,41,trucks,stacker_trucks_test
state_unemployment_rate,0.6740223178569181,41,trucks,stacker_trucks_test
store_id,0.6385445135287997,41,trucks,stacker_trucks_test
region_nbr,0.628873513402553,41,trucks,stacker_trucks_test
trends_party_supplies_scaled,0.5644493478888855,41,trucks,stacker_trucks_test
market_area_nbr,0.5602276249193646,41,trucks,stacker_trucks_test
trucks,17.43152192012156,6,cases,cat_test
cases_lag_7,16.618515488936453,6,cases,cat_test
cases_lag_14,14.477598284943772,6,cases,cat_test
cases_lag_1,6.4344140975039466,6,cases,cat_test
cases_ma_7,4.487025412526951,6,cases,cat_test
cases_ma_14,4.385068076100154,6,cases,cat_test
trucks_ma_7,4.05376320710625,6,cases,cat_test
Crude_Oil_Price,3.648573043730766,6,cases,cat_test
Initial_Jobless_Claims,3.5427751605627544,6,cases,cat_test
trucks_lag_7,2.5736915134213416,6,cases,cat_test
Crude_Oil_Price,2498.009719212312,6,trucks,stacker_trucks_test
temp_max_f,1523.0063152571947,6,trucks,stacker_trucks_test
temp_min_f,1429.006385854291,6,trucks,stacker_trucks_test
trucks_ma_7,1339.024992779142,6,trucks,stacker_trucks_test
store_id,1220.5053464420423,6,trucks,stacker_trucks_test
precip_in,1081.5047777092068,6,trucks,stacker_trucks_test
temp_avg_f,1054.002995806886,6,trucks,stacker_trucks_test
gas_price_usd_per_gallon,1003.5051810326313,6,trucks,stacker_trucks_test
market_area_nbr,945.0046816164013,6,trucks,stacker_trucks_test
Initial_Jobless_Claims,751.5072497057154,6,trucks,stacker_trucks_test
cases_lag_7,15.970563381615674,67,cases,cat_test
cases_lag_14,15.90655119285182,67,cases,cat_test
trucks,14.87162324451978,67,cases,cat_test
cases_lag_1,6.145850706906214,67,cases,cat_test
cases_ma_14,5.705201809927174,67,cases,cat_test
cases_ma_7,5.010357902980953,67,cases,cat_test
trucks_ma_7,4.082512381229609,67,cases,cat_test
Crude_Oil_Price,3.4156415258994124,67,cases,cat_test
trucks_lag_7,3.404156378232068,67,cases,cat_test
trucks_lag_1,2.6622827850797544,67,cases,cat_test
Crude_Oil_Price,1384.735295198122,67,trucks,stacker_trucks_test
trucks_ma_7,742.6915377773771,67,trucks,stacker_trucks_test
temp_max_f,709.8273089735313,67,trucks,stacker_trucks_test
temp_min_f,654.473773265868,67,trucks,stacker_trucks_test
store_id,581.1112705501242,67,trucks,stacker_trucks_test
precip_in,506.0922044219758,67,trucks,stacker_trucks_test
temp_avg_f,480.0980530377253,67,trucks,stacker_trucks_test
gas_price_usd_per_gallon,466.5892167618113,67,trucks,stacker_trucks_test
market_area_nbr,457.79454602767845,67,trucks,stacker_trucks_test
state_unemployment_rate,364.1654868681905,67,trucks,stacker_trucks_test
Crude_Oil_Price,1714.951275261878,9,cases,stacker_cases_test
cases_std_7,1386.6820753045727,9,cases,stacker_cases_test
cases_lag_14,1331.5419040346126,9,cases,stacker_cases_test
cases_lag_7,1242.7313210594295,9,cases,stacker_cases_test
cases_ma_14,1204.296479134004,9,cases,stacker_cases_test
cases_ma_7,1160.354551377538,9,cases,stacker_cases_test
cases_lag_1,1071.35979345379,9,cases,stacker_cases_test
temp_min_f,836.7405032753664,9,cases,stacker_cases_test
temp_max_f,794.6933423765289,9,cases,stacker_cases_test
Initial_Jobless_Claims,652.0266438726445,9,cases,stacker_cases_test
Crude_Oil_Price,1911.0100401470518,9,trucks,stacker_trucks_test
trucks_ma_7,1195.0255919466833,9,trucks,stacker_trucks_test
temp_max_f,1024.0060504695016,9,trucks,stacker_trucks_test
temp_min_f,993.0058744500169,9,trucks,stacker_trucks_test
store_id,901.0052466195895,9,trucks,stacker_trucks_test
precip_in,755.5023514932275,9,trucks,stacker_trucks_test
temp_avg_f,683.5024436767558,9,trucks,stacker_trucks_test
market_area_nbr,682.504607020898,9,trucks,stacker_trucks_test
gas_price_usd_per_gallon,652.5050066336408,9,trucks,stacker_trucks_test
Initial_Jobless_Claims,554.5071597529059,9,trucks,stacker_trucks_test
trucks,0.3489045337587852,90,cases,stacker_cases_test
cases_lag_7,0.14569489787054432,90,cases,stacker_cases_test
cases_ma_14,0.07916108846913567,90,cases,stacker_cases_test
cases_lag_14,0.07142111637375292,90,cases,stacker_cases_test
trucks_lag_7,0.06002946001744047,90,cases,stacker_cases_test
cases_ma_7,0.05728480262062882,90,cases,stacker_cases_test
trucks_ma_7,0.047105403376305505,90,cases,stacker_cases_test
cases_lag_1,0.026291636186453686,90,cases,stacker_cases_test
trucks_lag_1,0.018341288622967643,90,cases,stacker_cases_test
cases_std_7,0.009958753653151166,90,cases,stacker_cases_test
Crude_Oil_Price,2545.5099394351523,90,trucks,stacker_trucks_test
temp_max_f,1487.0061261079466,90,trucks,stacker_trucks_test
trucks_ma_7,1436.0246349284664,90,trucks,stacker_trucks_test
temp_min_f,1418.0059823503861,90,trucks,stacker_trucks_test
store_id,1194.505396386892,90,trucks,stacker_trucks_test
precip_in,1116.5048572293033,90,trucks,stacker_trucks_test
temp_avg_f,1036.5019809202936,90,trucks,stacker_trucks_test
gas_price_usd_per_gallon,961.5050477173828,90,trucks,stacker_trucks_test
market_area_nbr,937.0046525599605,90,trucks,stacker_trucks_test
Initial_Jobless_Claims,764.5077059174301,90,trucks,stacker_trucks_test
